run_id,config_name,question,repeat_index,top1_composite,mean_composite,mean_plan_completeness,latest_overall_review,iterations,errors,input_tokens,output_tokens,cost_usd,elapsed_seconds,failed_modules
dummy_config_q0_r1_d07aa038,dummy_config,Can CRISPR-Cas9 be used to treat Huntington's disease by targeting mutant HTT alleles?,1,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q0_r2_d07aa038,dummy_config,Can CRISPR-Cas9 be used to treat Huntington's disease by targeting mutant HTT alleles?,2,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q0_r3_d07aa038,dummy_config,Can CRISPR-Cas9 be used to treat Huntington's disease by targeting mutant HTT alleles?,3,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q1_r1_c49ae392,dummy_config,Does the gut microbiome influence the efficacy of PD-1 blockade immunotherapy?,1,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q1_r2_c49ae392,dummy_config,Does the gut microbiome influence the efficacy of PD-1 blockade immunotherapy?,2,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q1_r3_c49ae392,dummy_config,Does the gut microbiome influence the efficacy of PD-1 blockade immunotherapy?,3,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q2_r1_c197233f,dummy_config,Can metformin extend lifespan by activating AMPK and inhibiting mTOR pathways?,1,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q2_r2_c197233f,dummy_config,Can metformin extend lifespan by activating AMPK and inhibiting mTOR pathways?,2,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q2_r3_c197233f,dummy_config,Can metformin extend lifespan by activating AMPK and inhibiting mTOR pathways?,3,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q3_r1_7918be73,dummy_config,Is tau hyperphosphorylation a consequence rather than a cause of Alzheimer's disease pathology?,1,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q3_r2_7918be73,dummy_config,Is tau hyperphosphorylation a consequence rather than a cause of Alzheimer's disease pathology?,2,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q3_r3_7918be73,dummy_config,Is tau hyperphosphorylation a consequence rather than a cause of Alzheimer's disease pathology?,3,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q4_r1_883968b9,dummy_config,Do specialized pro-resolving mediators (SPMs) prevent chronic inflammation in rheumatoid arthritis?,1,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q4_r2_883968b9,dummy_config,Do specialized pro-resolving mediators (SPMs) prevent chronic inflammation in rheumatoid arthritis?,2,,,,,0,3,0,0,0.0000,0.0,pipeline_error
dummy_config_q4_r3_883968b9,dummy_config,Do specialized pro-resolving mediators (SPMs) prevent chronic inflammation in rheumatoid arthritis?,3,,,,,0,3,0,0,0.0000,0.0,pipeline_error
